total_time,numbers_generation_time,bucket_distibution_time,bucket_sort_time,bucket_join_time
9.360814,0.073449,3.720840,5.742628,0.336377
9.244444,0.073341,3.618190,5.768331,0.336628
9.192782,0.073521,3.525142,5.745429,0.336693
9.446052,0.073545,3.673183,5.736946,0.336623
9.611519,0.073564,3.965169,5.748230,0.335782
9.771451,0.073600,4.444567,5.730785,0.337155
9.917997,0.073692,3.903780,5.873081,0.338612
9.778474,0.073663,4.491990,5.755177,0.335350
9.718155,0.073611,3.915936,5.737103,0.336975
9.689704,0.073781,4.293737,5.734193,0.336375
9.680519,0.073607,3.643523,5.756051,0.336502
9.677351,0.073917,4.016330,5.747667,0.335529
9.620535,0.073480,4.331963,5.740843,0.336965
9.605926,0.073591,3.624551,5.739059,0.336181
9.762109,0.073604,4.061279,5.744980,0.336920
9.724243,0.073583,4.461439,5.751573,0.335874
9.731907,0.073557,3.881227,5.745279,0.335732
9.700790,0.073465,4.262535,5.747542,0.335634
9.687152,0.073411,3.632161,5.746028,0.336207
9.689926,0.073559,4.007230,5.743202,0.336054
9.674319,0.073516,4.354715,5.752532,0.335301
9.683169,0.073619,3.724370,5.747807,0.335319
9.548528,0.073499,3.982778,5.739961,0.335282
9.495116,0.073568,4.158184,5.740004,0.334106
9.534514,0.073539,4.348458,5.753983,0.342834
9.538016,0.073788,3.584100,5.741786,0.335466
9.551910,0.073493,3.818589,5.737038,0.336044
9.545257,0.073357,4.003622,5.767469,0.346565
9.184605,0.073378,3.091287,5.739134,0.335261
8.801238,0.073346,3.597671,5.731969,0.334265
8.918225,0.073281,3.146616,5.744391,0.367794
10.152019,0.074283,4.052215,5.742242,0.335016
9.200528,0.073254,3.934846,5.737403,0.334048
9.269938,0.073256,3.855080,5.759345,0.336723
9.296206,0.073327,3.861779,5.733320,0.335392
9.442236,0.076855,3.995775,5.738481,0.334432
9.513506,0.076251,4.191178,5.751228,0.337482
9.667545,0.073546,3.568455,5.730798,0.335977
9.724745,0.073797,3.968096,5.741076,0.335895
9.556895,0.073600,4.200871,5.755883,0.336521
9.386133,0.073688,3.294855,5.741538,0.336085
9.218630,0.073264,3.210518,5.737286,0.334044
9.527303,0.073341,3.387669,5.759531,0.336991
9.697399,0.073568,3.778821,5.751735,0.336822
9.909585,0.073555,4.203076,5.774854,0.486396
13.404560,0.078625,7.531602,5.782795,0.473870
12.708594,0.078490,7.399950,5.733879,0.335830
9.472811,0.073467,3.528978,5.758662,0.336082
9.577703,0.073966,3.813261,5.740099,0.336378
13.400014,0.073775,7.748663,5.789252,0.437902
13.014464,0.078867,6.888641,5.769063,0.336268
9.418895,0.073564,4.022674,5.735836,0.336802
9.631788,0.073644,4.314388,5.740185,0.356004
9.864941,0.077521,3.728089,5.790925,0.459680
13.164110,0.078264,7.782246,5.790772,0.450445
11.673369,0.078099,5.586428,5.733494,0.336635
9.464182,0.073428,3.730731,5.738531,0.336417
9.474488,0.073848,3.893328,5.747646,0.337249
13.813966,0.080549,8.431394,5.787951,0.508569
13.467426,0.078405,8.037808,5.757203,0.335562
9.680894,0.073661,4.417881,5.739910,0.338192
9.818736,0.073598,3.927342,5.740102,0.336887
11.025743,0.073721,5.489106,5.791738,0.446202
13.499194,0.077744,7.897792,5.786035,0.500473
10.517487,0.079053,4.611960,5.738573,0.336921
9.690397,0.073651,3.960889,5.766127,0.335880
9.641513,0.073584,4.131146,5.746568,0.505632
13.104122,0.079778,7.115953,5.782652,0.528569
13.203458,0.078586,7.469060,5.758211,0.335237
9.454240,0.073440,3.616607,5.745388,0.335937
9.716229,0.073503,3.994447,5.766365,0.337422
10.859361,0.073543,5.368258,5.797129,0.486444
13.365568,0.076893,7.629372,5.828229,0.449220
10.484967,0.078539,5.287087,5.732963,0.336900
9.448749,0.073495,3.406809,5.743730,0.336753
9.617571,0.073468,3.506183,5.767298,0.520786
13.283093,0.080356,7.910000,5.789282,0.404904
13.208367,0.077694,7.178857,5.774494,0.337082
9.691906,0.073753,3.575070,5.753083,0.349919
11.408580,0.074103,5.552518,5.788808,0.476508
13.101828,0.078567,7.568095,5.791225,0.438853
9.187586,0.073244,3.622224,5.741682,0.340286
10.126885,0.074212,4.445729,5.746630,0.345623
9.609171,0.074047,3.787322,5.738537,0.338516
9.897302,0.073840,4.381402,5.736611,0.337463
9.884200,0.073867,3.957849,5.739053,0.337461
9.853286,0.073807,4.517061,5.742657,0.337385
9.672849,0.073738,3.880090,5.739450,0.335883
9.594834,0.073435,4.131320,5.763724,0.336311
9.490172,0.073378,4.322720,5.742586,0.337156
9.308754,0.073378,3.306609,5.745874,0.336717
9.047134,0.073426,3.040273,5.752935,0.335394
9.416121,0.073565,4.169441,5.729330,0.335845
9.639167,0.073590,4.494200,5.733513,0.337043
9.798256,0.073578,3.962541,5.751451,0.336532
9.735250,0.073567,4.405295,5.732670,0.337852
9.705079,0.073876,3.798289,5.731671,0.337174
9.673572,0.073786,4.137979,5.753332,0.335640
9.592933,0.073559,4.432127,5.736617,0.334451
